Suburb,Region Tag,Postcode,State,Zone,Odds,Data Confidence,Leads,Lost/Other,Minor Dmg,No Dmg,Claims Lodged,Total Volume,Lodge %,Minor/No Dmg %,Minor Dmg %,No Dmg %,Date - Hail Storm 1,Hail Size - Hail Storm 1,% of Suburb Hit - Hail Storm 1,Date - Hail Storm 2,Hail Size - Hail Storm 2,% of Suburb Hit - Hail Storm 2,Date - Hail Storm 3,Hail Size - Hail Storm 3,% of Suburb Hit - Hail Storm 3
Chuwar,R01 - BGCI,4306,QLD,ON THE FENCE,No Claims,Very Low (<10),1,5,1,0,0,7,0.00%,14.30%,14.30%,0.00%,26/10/25,7+cm,,,,,,,
Ripley,R01 - BGCI,4306,QLD,KEEP AWAY,1 in 9,Very Low (<10),0,3,1,4,1,9,11.10%,55.60%,11.10%,44.40%,26/10/25,7+cm,,,,,,,
Lowood,R04 - GT,4311,QLD,GO,1 in 3,High (50+),7,34,11,10,31,93,33.30%,22.60%,11.80%,10.80%,26/10/25,7+cm,,,,,,,
Brightview,R04 - GT,4311,QLD,GO,1 in 2,Medium (20-49),0,12,0,0,8,20,40.00%,0.00%,0.00%,0.00%,26/10/25,7+cm,,,,,,,
Coominya,R04 - GT,4311,QLD,GO,1 in 2,Very Low (<10),0,3,0,0,3,6,50.00%,0.00%,0.00%,0.00%,26/10/25,7+cm,,,,,,,
Esk,OOA,4312,QLD,WORTH IT,1 in 4,Very Low (<10),4,2,0,1,2,9,22.20%,11.10%,0.00%,11.10%,26/10/25,7+cm,,,,,,,
Mount Hallen,OOA,4312,QLD,ON THE FENCE,1 in 7,Very Low (<10),0,4,0,2,1,7,14.30%,28.60%,0.00%,28.60%,26/10/25,7+cm,,,,,,,
Regency Downs,R04 - GT,4341,QLD,GO,1 in 3,Medium (20-49),0,15,2,12,13,42,31.00%,33.30%,4.80%,28.60%,01/11/2025,6-7cm,,10/01/2025,2-3cm,,23/1/2025,3-4cm,
Laidley,R04 - GT,4341,QLD,GO,1 in 3,Medium (20-49),0,8,1,6,8,23,34.80%,30.40%,4.30%,26.10%,01/11/2025,6-7cm,,10/01/2025,2-3cm,,23/1/2025,3-4cm,
Hatton Vale,R04 - GT,4341,QLD,GO,1 in 4,Medium (20-49),0,8,3,4,5,20,25.00%,35.00%,15.00%,20.00%,01/11/2025,6-7cm,,10/01/2025,2-3cm,,23/1/2025,3-4cm,
Laidley Heights,R04 - GT,4341,QLD,GO,1 in 3,Low (10-19),0,5,1,3,4,13,30.80%,30.80%,7.70%,23.10%,01/11/2025,6-7cm,,10/01/2025,2-3cm,,23/1/2025,3-4cm,
Kensington Grove,R04 - GT,4341,QLD,WORTH IT,1 in 5,Medium (20-49),0,28,4,6,10,48,20.80%,20.80%,8.30%,12.50%,01/11/2025,6-7cm,,10/01/2025,2-3cm,,23/1/2025,3-4cm,
Blenheim,R04 - GT,4341,QLD,UNPROVEN,No Claims,Very Low (<10),0,6,0,0,0,6,0.00%,0.00%,0.00%,0.00%,01/11/2025,6-7cm,,10/01/2025,2-3cm,,23/1/2025,3-4cm,
Plainland,R04 - GT,4341,QLD,KEEP AWAY,1 in 6,Medium (20-49),1,11,4,4,4,24,16.70%,33.30%,16.70%,16.70%,01/11/2025,6-7cm,,10/01/2025,2-3cm,,23/1/2025,3-4cm,
Forest Hill,R04 - GT,4342,QLD,GO,1 in 3,Medium (20-49),2,13,3,7,15,40,37.50%,25.00%,7.50%,17.50%,01/11/2025,6-7cm,,10/01/2025,2-3cm,,23/1/2025,3-4cm,
Lockrose,R04 - GT,4342,QLD,GO,1 in 2,Medium (20-49),2,5,3,4,19,33,57.60%,21.20%,9.10%,12.10%,01/11/2025,6-7cm,,10/01/2025,2-3cm,,23/1/2025,3-4cm,
Glenore Grove,R04 - GT,4342,QLD,GO,1 in 2,Very Low (<10),0,1,1,1,4,7,57.10%,28.60%,14.30%,14.30%,01/11/2025,6-7cm,,10/01/2025,2-3cm,,23/1/2025,3-4cm,
Gatton,R04 - GT,4343,QLD,GO,1 in 2,High (50+),5,231,9,18,192,455,42.20%,5.90%,2.00%,4.00%,1/11/2025,5-6cm,,9/10/2024,2-3cm,,23/12/2023,3-4cm,
Placid Hills,R04 - GT,4343,QLD,GO,1 in 2,Medium (20-49),2,12,1,4,16,35,45.70%,14.30%,2.90%,11.40%,1/11/2025,5-6cm,,9/10/2024,2-3cm,,23/12/2023,3-4cm,
Adare,R04 - GT,4343,QLD,GO,1 in 3,Low (10-19),2,3,1,4,5,15,33.30%,33.30%,6.70%,26.70%,1/11/2025,5-6cm,,9/10/2024,2-3cm,,23/12/2023,3-4cm,
(No Suburb Listed),R04 - GT,4343,QLD,UNPROVEN,No Claims,Very Low (<10),0,6,0,0,0,6,0.00%,0.00%,0.00%,0.00%,1/11/2025,5-6cm,,9/10/2024,2-3cm,,23/12/2023,3-4cm,
Helidon,R04 - GT,4344,QLD,GO,1 in 4,Very Low (<10),1,2,0,2,2,7,28.60%,28.60%,0.00%,28.60%,1/11/2025,5-6cm,,9/10/2024,2-3cm,,23/12/2023,3-4cm,
Ma Ma Creek,R04 - GT,4347,QLD,ON THE FENCE,1 in 6,Very Low (<10),1,4,0,0,1,6,16.70%,0.00%,0.00%,0.00%,26/10/2025,2-3cm,,10/11/2023,2-3cm,,,,
Grantham,R04 - GT,4347,QLD,KEEP AWAY,1 in 6,Medium (20-49),0,12,3,4,4,23,17.40%,30.40%,13.00%,17.40%,26/10/2025,2-3cm,,10/11/2023,2-3cm,,,,
Rockville,R04 - GT,4350,QLD,GO,1 in 3,High (50+),2,29,8,13,24,76,31.60%,27.60%,10.50%,17.10%,26/10/2025,2-3cm,,10/11/2023,2-3cm,,,,
Toowoomba City,R04 - GT,4350,QLD,GO,1 in 3,High (50+),1,17,4,15,19,56,33.90%,33.90%,7.10%,26.80%,26/10/2025,2-3cm,,10/11/2023,2-3cm,,,,
North Toowoomba,R04 - GT,4350,QLD,GO,1 in 3,High (50+),0,20,4,13,16,53,30.20%,32.10%,7.50%,24.50%,26/10/2025,2-3cm,,10/11/2023,2-3cm,,,,
South Toowoomba,R04 - GT,4350,QLD,GO,1 in 4,Medium (20-49),3,20,2,5,10,40,25.00%,17.50%,5.00%,12.50%,26/10/2025,2-3cm,,10/11/2023,2-3cm,,,,
Rangeville,R04 - GT,4350,QLD,GO,1 in 3,Medium (20-49),1,14,4,6,11,36,30.60%,27.80%,11.10%,16.70%,26/10/2025,2-3cm,,10/11/2023,2-3cm,,,,
East Toowoomba,R04 - GT,4350,QLD,GO,1 in 4,Medium (20-49),0,18,0,6,9,33,27.30%,18.20%,0.00%,18.20%,26/10/2025,2-3cm,,10/11/2023,2-3cm,,,,
Newtown,R04 - GT,4350,QLD,WORTH IT,1 in 4,High (50+),2,139,13,46,63,263,24.00%,22.40%,4.90%,17.50%,26/10/2025,2-3cm,,10/11/2023,2-3cm,,,,
Harristown,R04 - GT,4350,QLD,WORTH IT,1 in 4,High (50+),2,68,10,32,37,149,24.80%,28.20%,6.70%,21.50%,26/10/2025,2-3cm,,10/11/2023,2-3cm,,,,
Harlaxton,R04 - GT,4350,QLD,WORTH IT,1 in 5,Medium (20-49),3,7,5,4,5,24,20.80%,37.50%,20.80%,16.70%,26/10/2025,2-3cm,,10/11/2023,2-3cm,,,,
Kearneys Spring,R04 - GT,4350,QLD,ON THE FENCE,1 in 8,High (50+),0,34,8,6,7,55,12.70%,25.50%,14.50%,10.90%,26/10/2025,2-3cm,,10/11/2023,2-3cm,,,,
Mount Lofty,R04 - GT,4350,QLD,ON THE FENCE,1 in 8,Low (10-19),2,8,2,3,2,17,11.80%,29.40%,11.80%,17.60%,26/10/2025,2-3cm,,10/11/2023,2-3cm,,,,
Centenary Heights,R04 - GT,4350,QLD,ON THE FENCE,1 in 7,Low (10-19),0,9,1,2,2,14,14.30%,21.40%,7.10%,14.30%,26/10/2025,2-3cm,,10/11/2023,2-3cm,,,,
Middle Ridge,R04 - GT,4350,QLD,ON THE FENCE,1 in 6,Low (10-19),0,9,2,0,2,13,15.40%,15.40%,15.40%,0.00%,26/10/2025,2-3cm,,10/11/2023,2-3cm,,,,
Westbrook,R04 - GT,4350,QLD,ON THE FENCE,1 in 6,Very Low (<10),0,4,0,1,1,6,16.70%,16.70%,0.00%,16.70%,26/10/2025,2-3cm,,10/11/2023,2-3cm,,,,
(No Suburb Listed),R04 - GT,4350,QLD,UNPROVEN,No Claims,Very Low (<10),4,3,0,0,0,7,0.00%,0.00%,0.00%,0.00%,26/10/2025,2-3cm,,10/11/2023,2-3cm,,,,
Glenvale,R04 - GT,4350,QLD,KEEP AWAY,1 in 9,High (50+),0,29,8,17,7,61,11.50%,41.00%,13.10%,27.90%,01/11/2025,6-7cm,,10/01/2025,2-3cm,,23/1/2025,3-4cm,
Wilsonton Heights,R04 - GT,4350,QLD,KEEP AWAY,1 in 24,Medium (20-49),2,22,6,16,2,48,4.20%,45.80%,12.50%,33.30%,26/10/2025,2-3cm,,10/11/2023,2-3cm,,,,
Wilsonton,R04 - GT,4350,QLD,KEEP AWAY,1 in 6,Medium (20-49),2,16,7,7,7,39,17.90%,35.90%,17.90%,17.90%,26/10/2025,2-3cm,,10/11/2023,2-3cm,,,,
Darling Heights,R04 - GT,4350,QLD,KEEP AWAY,1 in 6,Low (10-19),0,5,2,4,2,13,15.40%,46.20%,15.40%,30.80%,26/10/2025,2-3cm,,10/11/2023,2-3cm,,,,
Meringandan West,R04 - GT,4352,QLD,GO,1 in 4,Very Low (<10),0,1,1,4,2,8,25.00%,62.50%,12.50%,50.00%,01/11/2025,6-7cm,,10/01/2025,2-3cm,,23/1/2025,3-4cm,
Highfields,R04 - GT,4352,QLD,ON THE FENCE,1 in 8,Very Low (<10),1,5,0,1,1,8,12.50%,12.50%,0.00%,12.50%,01/11/2025,6-7cm,,10/01/2025,2-3cm,,23/1/2025,3-4cm,
Goombungee,OOA,4354,QLD,GO,1 in 3,Low (10-19),0,8,0,1,4,13,30.80%,7.70%,0.00%,7.70%,01/11/2025,6-7cm,,10/01/2025,2-3cm,,23/1/2025,3-4cm,
Crows Nest,R04 - GT,4355,QLD,GO,1 in 3,Medium (20-49),2,13,0,1,8,24,33.30%,4.20%,0.00%,4.20%,01/11/2025,6-7cm,,10/01/2025,2-3cm,,23/1/2025,3-4cm,
Cambooya,R04 - GT,4358,QLD,GO,1 in 3,Very Low (<10),1,3,0,0,2,6,33.30%,0.00%,0.00%,0.00%,01/11/2025,6-7cm,,10/01/2025,2-3cm,,23/1/2025,3-4cm,
Nobby,R04 - GT,4360,QLD,WORTH IT,1 in 5,Very Low (<10),1,2,0,1,1,5,20.00%,20.00%,0.00%,20.00%,01/11/2025,6-7cm,,10/01/2025,2-3cm,,23/1/2025,3-4cm,
Clifton,R05 - WST,4361,QLD,GO,1 in 3,Very Low (<10),1,3,0,1,3,8,37.50%,12.50%,0.00%,12.50%,01/11/2025,6-7cm,,10/01/2025,2-3cm,,23/1/2025,3-4cm,
Allora,R05 - WST,4362,QLD,GO,1 in 2,Low (10-19),0,4,0,0,6,10,60.00%,0.00%,0.00%,0.00%,01/11/2025,6-7cm,,10/01/2025,2-3cm,,23/1/2025,3-4cm,
Mount Marshall,R05 - WST,4362,QLD,WORTH IT,1 in 5,Very Low (<10),0,1,2,1,1,5,20.00%,60.00%,40.00%,20.00%,01/11/2025,6-7cm,,10/01/2025,2-3cm,,23/1/2025,3-4cm,
Warwick,R05 - WST,4370,QLD,GO,1 in 2,High (50+),10,238,33,36,337,654,51.50%,10.60%,5.00%,5.50%,1/11/25,7+cm,,31/10/25,3-4cm,,17/12/2023,3-4cm,
Rosenthal Heights,R05 - WST,4370,QLD,GO,1 in 2,High (50+),2,28,4,5,61,100,61.00%,9.00%,4.00%,5.00%,1/11/25,7+cm,,31/10/25,3-4cm,,17/12/2023,3-4cm,
Mount Colliery,R05 - WST,4370,QLD,GO,1 in 2,Low (10-19),0,5,0,0,6,11,54.50%,0.00%,0.00%,0.00%,1/11/25,7+cm,,31/10/25,3-4cm,,17/12/2023,3-4cm,
Pratten,R05 - WST,4370,QLD,GO,1 in 2,Low (10-19),1,5,0,0,4,10,40.00%,0.00%,0.00%,0.00%,1/11/25,7+cm,,31/10/25,3-4cm,,17/12/2023,3-4cm,
Loch Lomond,R05 - WST,4370,QLD,GO,1 in 2,Very Low (<10),0,2,0,1,5,8,62.50%,12.50%,0.00%,12.50%,1/11/25,7+cm,,31/10/25,3-4cm,,17/12/2023,3-4cm,
Sladevale,R05 - WST,4370,QLD,GO,1 in 2,Very Low (<10),0,3,0,0,5,8,62.50%,0.00%,0.00%,0.00%,1/11/25,7+cm,,31/10/25,3-4cm,,17/12/2023,3-4cm,
Freestone,R05 - WST,4370,QLD,GO,1 in 1,Very Low (<10),1,0,0,0,6,7,85.70%,0.00%,0.00%,0.00%,1/11/25,7+cm,,31/10/25,3-4cm,,17/12/2023,3-4cm,
Rosehill,R05 - WST,4370,QLD,GO,1 in 1,Very Low (<10),0,1,0,0,6,7,85.70%,0.00%,0.00%,0.00%,1/11/25,7+cm,,31/10/25,3-4cm,,17/12/2023,3-4cm,
Womina,R05 - WST,4370,QLD,GO,1 in 2,Very Low (<10),0,2,1,0,4,7,57.10%,14.30%,14.30%,0.00%,1/11/25,7+cm,,31/10/25,3-4cm,,17/12/2023,3-4cm,
Swan Creek,R05 - WST,4370,QLD,GO,1 in 2,Very Low (<10),0,2,0,0,3,5,60.00%,0.00%,0.00%,0.00%,1/11/25,7+cm,,31/10/25,3-4cm,,17/12/2023,3-4cm,
Gladfield,R05 - WST,4370,QLD,WORTH IT,1 in 5,Very Low (<10),0,4,0,0,1,5,20.00%,0.00%,0.00%,0.00%,1/11/25,7+cm,,31/10/25,3-4cm,,17/12/2023,3-4cm,
Leslie,R05 - WST,4370,QLD,WORTH IT,1 in 5,Very Low (<10),0,3,1,0,1,5,20.00%,20.00%,20.00%,0.00%,1/11/25,7+cm,,31/10/25,3-4cm,,17/12/2023,3-4cm,
The Glen,R05 - WST,4370,QLD,WORTH IT,1 in 5,Very Low (<10),0,3,0,1,1,5,20.00%,20.00%,0.00%,20.00%,01/11/2025,6-7cm,,10/01/2025,2-3cm,,23/1/2025,3-4cm,
(No Suburb Listed),R05 - WST,4370,QLD,ON THE FENCE,1 in 9,Very Low (<10),0,8,0,0,1,9,11.10%,0.00%,0.00%,0.00%,1/11/25,7+cm,,31/10/25,3-4cm,,17/12/2023,3-4cm,
Junabee,R05 - WST,4370,QLD,ON THE FENCE,1 in 7,Very Low (<10),0,4,0,2,1,7,14.30%,28.60%,0.00%,28.60%,1/11/25,7+cm,,31/10/25,3-4cm,,17/12/2023,3-4cm,
Massie,R05 - WST,4370,QLD,UNPROVEN,No Claims,Very Low (<10),0,5,0,0,0,5,0.00%,0.00%,0.00%,0.00%,1/11/25,7+cm,,31/10/25,3-4cm,,17/12/2023,3-4cm,
Tannymorel,R05 - WST,4372,QLD,GO,1 in 1,Very Low (<10),0,2,0,0,6,8,75.00%,0.00%,0.00%,0.00%,1/11/25,7+cm,,31/10/25,3-4cm,,17/12/2023,3-4cm,
Killarney,R05 - WST,4373,QLD,ON THE FENCE,1 in 15,Low (10-19),1,12,1,0,1,15,6.70%,6.70%,6.70%,0.00%,1/11/25,7+cm,,31/10/25,3-4cm,,17/12/2023,3-4cm,
Dalveen,R05 - WST,4374,QLD,GO,1 in 1,Low (10-19),1,3,0,0,11,15,73.30%,0.00%,0.00%,0.00%,1/11/25,7+cm,,31/10/25,3-4cm,,17/12/2023,3-4cm,
Cottonvale,R05 - WST,4375,QLD,GO,1 in 1,Low (10-19),0,3,0,1,9,13,69.20%,7.70%,0.00%,7.70%,1/11/25,7+cm,,31/10/25,3-4cm,,17/12/2023,3-4cm,
Thulimbah,R05 - WST,4376,QLD,GO,1 in 1,Low (10-19),3,1,0,0,11,15,73.30%,0.00%,0.00%,0.00%,14/01/2025,6-7cm,,14/02/2023,2-3cm,,,,
The Summit,R05 - WST,4377,QLD,GO,1 in 3,Very Low (<10),0,5,0,0,3,8,37.50%,0.00%,0.00%,0.00%,14/01/2025,6-7cm,,14/02/2023,2-3cm,,,,
Applethorpe,R05 - WST,4378,QLD,GO,1 in 1,Low (10-19),0,3,0,0,7,10,70.00%,0.00%,0.00%,0.00%,14/01/2025,6-7cm,,14/02/2023,2-3cm,,,,
Stanthorpe,R05 - WST,4380,QLD,GO,1 in 2,High (50+),4,24,4,4,35,71,49.30%,11.30%,5.60%,5.60%,14/01/2025,6-7cm,,14/02/2023,2-3cm,,,,
Ruby Creek,R05 - WST,4380,QLD,GO,1 in 2,Very Low (<10),0,2,0,0,4,6,66.70%,0.00%,0.00%,0.00%,14/01/2025,6-7cm,,14/02/2023,2-3cm,,,,
Ballandean,R05 - WST,4382,QLD,WORTH IT,1 in 5,Very Low (<10),0,4,0,0,1,5,20.00%,0.00%,0.00%,0.00%,01/11/2025,6-7cm,,10/01/2025,2-3cm,,23/1/2025,3-4cm,
Texas,R05 - WST,4385,QLD,GO,1 in 1,High (50+),9,21,0,0,61,91,67.00%,0.00%,0.00%,0.00%,01/11/2025,6-7cm,,10/01/2025,2-3cm,,23/1/2025,3-4cm,
Goondiwindi,R05 - WST,4390,QLD,GO,1 in 2,Low (10-19),2,4,0,0,6,12,50.00%,0.00%,0.00%,0.00%,01/11/2025,6-7cm,,10/01/2025,2-3cm,,23/1/2025,3-4cm,
Kingsthorpe,R04 - GT,4400,QLD,GO,1 in 3,Very Low (<10),0,3,1,2,3,9,33.30%,33.30%,11.10%,22.20%,07/04/2023,1-2cm,,,,,,,
Oakey,R04 - GT,4401,QLD,GO,1 in 2,High (50+),0,21,2,1,30,54,55.60%,5.60%,3.70%,1.90%,07/04/2023,1-2cm,,,,,,,
Dalby,OOA,4405,QLD,GO,1 in 2,Low (10-19),0,5,1,1,7,14,50.00%,14.30%,7.10%,7.10%,07/04/2023,1-2cm,,,,,,,
The Gums,R05 - WST,4406,QLD,GO,1 in 1,Very Low (<10),0,0,0,0,6,6,100.00%,0.00%,0.00%,0.00%,07/04/2023,1-2cm,,,,,,,
Tara,R05 - WST,4421,QLD,GO,1 in 1,High (50+),0,46,0,0,107,153,69.90%,0.00%,0.00%,0.00%,02/10/2025,5-6cm,,4/12/23,3-4cm,,8/12/22,5-6cm,
Injune,OOA,4454,QLD,GO,1 in 2,Very Low (<10),0,3,0,0,5,8,62.50%,0.00%,0.00%,0.00%,02/10/2025,5-6cm,,4/12/23,3-4cm,,8/12/22,5-6cm,
Roma,R06 - RER,4455,QLD,GO,1 in 2,High (50+),6,112,19,20,127,284,44.70%,13.70%,6.70%,7.00%,02/10/2025,5-6cm,,4/12/23,3-4cm,,8/12/22,5-6cm,
Mitchell,R06 - RER,4465,QLD,GO,1 in 3,Very Low (<10),0,4,0,1,3,8,37.50%,12.50%,0.00%,12.50%,02/10/2025,5-6cm,,4/12/23,3-4cm,,8/12/22,5-6cm,
Toobeah,R05 - WST,4498,QLD,GO,1 in 1,Very Low (<10),0,0,0,0,6,6,100.00%,0.00%,0.00%,0.00%,17/10/2025,5-6cm,,26/05/2023,3-4cm,,,,
Strathpine,R03 - SC,4500,QLD,WORTH IT,1 in 5,Very Low (<10),0,2,2,0,1,5,20.00%,40.00%,40.00%,0.00%,17/10/2025,5-6cm,,26/05/2023,3-4cm,,,,
Kallangur,R03 - SC,4503,QLD,ON THE FENCE,No Claims,Low (10-19),0,10,0,1,0,11,0.00%,9.10%,0.00%,9.10%,17/10/2025,5-6cm,,26/05/2023,3-4cm,,,,
Griffin,R03 - SC,4503,QLD,KEEP AWAY,No Claims,Very Low (<10),0,3,0,2,0,5,0.00%,40.00%,0.00%,40.00%,17/10/2025,5-6cm,,26/05/2023,3-4cm,,,,
Narangba,R03 - SC,4504,QLD,WORTH IT,1 in 4,High (50+),0,42,5,18,20,85,23.50%,27.10%,5.90%,21.20%,17/10/2025,5-6cm,,26/05/2023,3-4cm,,,,
Burpengary,R03 - SC,4505,QLD,KEEP AWAY,1 in 7,Medium (20-49),1,22,4,9,6,42,14.30%,31.00%,9.50%,21.40%,17/10/2025,5-6cm,,26/05/2023,3-4cm,,,,
Burpengary East,R03 - SC,4505,QLD,KEEP AWAY,No Claims,Low (10-19),0,13,0,6,0,19,0.00%,31.60%,0.00%,31.60%,17/10/2025,5-6cm,,26/05/2023,3-4cm,,,,
Morayfield,R03 - SC,4506,QLD,KEEP AWAY,1 in 25,Medium (20-49),2,7,3,12,1,25,4.00%,60.00%,12.00%,48.00%,17/10/2025,5-6cm,,26/05/2023,3-4cm,,,,
Bongaree,R03 - SC,4507,QLD,ON THE FENCE,1 in 24,Medium (20-49),16,15,1,13,2,47,4.30%,29.80%,2.10%,27.70%,17/10/2025,5-6cm,,26/05/2023,3-4cm,,,,
Bellara,R03 - SC,4507,QLD,ON THE FENCE,1 in 10,Low (10-19),1,6,0,2,1,10,10.00%,20.00%,0.00%,20.00%,17/10/2025,5-6cm,,26/05/2023,3-4cm,,,,
Banksia Beach,R03 - SC,4507,QLD,KEEP AWAY,No Claims,Very Low (<10),1,3,1,4,0,9,0.00%,55.60%,11.10%,44.40%,17/10/2025,5-6cm,,26/05/2023,3-4cm,,,,
Deception Bay,R03 - SC,4508,QLD,GO,1 in 4,Low (10-19),0,6,0,2,3,11,27.30%,18.20%,0.00%,18.20%,17/10/2025,5-6cm,,26/05/2023,3-4cm,,,,
Bellmere,R03 - SC,4510,QLD,WORTH IT,1 in 5,Low (10-19),1,5,1,1,2,10,20.00%,20.00%,10.00%,10.00%,17/10/2025,5-6cm,,26/05/2023,3-4cm,,,,
Upper Caboolture,R03 - SC,4510,QLD,WORTH IT,1 in 5,Low (10-19),0,3,0,5,2,10,20.00%,50.00%,0.00%,50.00%,17/10/2025,5-6cm,,26/05/2023,3-4cm,,,,
Beachmere,R03 - SC,4510,QLD,WORTH IT,1 in 5,Very Low (<10),0,3,1,0,1,5,20.00%,20.00%,20.00%,0.00%,17/10/2025,5-6cm,,26/05/2023,3-4cm,,,,
Caboolture,R03 - SC,4510,QLD,ON THE FENCE,1 in 6,High (50+),7,42,3,20,16,88,18.20%,26.10%,3.40%,22.70%,17/10/2025,5-6cm,,26/05/2023,3-4cm,,,,
(No Suburb Listed),R03 - SC,4510,QLD,UNPROVEN,No Claims,Very Low (<10),6,2,0,0,0,8,0.00%,0.00%,0.00%,0.00%,17/10/2025,5-6cm,,26/05/2023,3-4cm,,,,
Caboolture South,R03 - SC,4510,QLD,KEEP AWAY,No Claims,Low (10-19),1,8,0,5,0,14,0.00%,35.70%,0.00%,35.70%,17/10/2025,5-6cm,,26/05/2023,3-4cm,,,,
Toorbul,R03 - SC,4510,QLD,KEEP AWAY,No Claims,Very Low (<10),0,3,0,2,0,5,0.00%,40.00%,0.00%,40.00%,17/10/2025,5-6cm,,26/05/2023,3-4cm,,,,
Ningi,R03 - SC,4511,QLD,GO,1 in 3,Low (10-19),2,5,0,2,4,13,30.80%,15.40%,0.00%,15.40%,17/10/2025,5-6cm,,26/05/2023,3-4cm,,,,
Wamuran,R03 - SC,4512,QLD,GO,1 in 3,Low (10-19),0,6,1,3,5,15,33.30%,26.70%,6.70%,20.00%,17/10/2025,5-6cm,,26/05/2023,3-4cm,,,,
Delaneys Creek,R03 - SC,4514,QLD,KEEP AWAY,No Claims,Very Low (<10),0,3,1,1,0,5,0.00%,40.00%,20.00%,20.00%,15/01/2025,4-5cm,,26/12/2023,3-4cm,,,,
Kilcoy,R03 - SC,4515,QLD,KEEP AWAY,No Claims,Very Low (<10),0,3,2,0,0,5,0.00%,40.00%,40.00%,0.00%,15/01/2025,4-5cm,,26/12/2023,3-4cm,,,,
Elimbah,R03 - SC,4516,QLD,KEEP AWAY,1 in 41,Medium (20-49),0,11,5,24,1,41,2.40%,70.70%,12.20%,58.50%,15/01/2025,4-5cm,,26/12/2023,3-4cm,,,,
Glass House Mountains,R03 - SC,4518,QLD,ON THE FENCE,1 in 5,Medium (20-49),1,14,0,2,4,21,19.00%,9.50%,0.00%,9.50%,15/01/2025,4-5cm,,26/12/2023,3-4cm,,,,
Beerwah,R03 - SC,4519,QLD,WORTH IT,1 in 5,Medium (20-49),1,15,2,6,6,30,20.00%,26.70%,6.70%,20.00%,15/01/2025,4-5cm,,26/12/2023,3-4cm,,,,
Mount Mellum,R03 - SC,4550,QLD,WORTH IT,1 in 5,Very Low (<10),1,0,0,3,1,5,20.00%,60.00%,0.00%,60.00%,24/11/25,4-5cm,,,,,,,
Landsborough,R03 - SC,4550,QLD,KEEP AWAY,1 in 7,Medium (20-49),1,16,5,7,5,34,14.70%,35.30%,14.70%,20.60%,24/11/25,4-5cm,,,,,,,
Caloundra West,R03 - SC,4551,QLD,GO,1 in 2,High (50+),6,33,3,2,34,78,43.60%,6.40%,3.80%,2.60%,24/11/25,4-5cm,,,,,,,
Golden Beach,R03 - SC,4551,QLD,GO,1 in 3,Medium (20-49),5,13,1,10,14,43,32.60%,25.60%,2.30%,23.30%,24/11/25,4-5cm,,,,,,,
Meridan Plains,R03 - SC,4551,QLD,GO,1 in 4,Low (10-19),3,3,1,2,3,12,25.00%,25.00%,8.30%,16.70%,24/11/25,4-5cm,,,,,,,
Moffat Beach,R03 - SC,4551,QLD,GO,1 in 3,Very Low (<10),0,3,0,2,3,8,37.50%,25.00%,0.00%,25.00%,24/11/25,4-5cm,,,,,,,
Aroona,R03 - SC,4551,QLD,GO,1 in 3,Very Low (<10),0,1,1,2,2,6,33.30%,50.00%,16.70%,33.30%,24/11/25,4-5cm,,,,,,,
Nirimba,R03 - SC,4551,QLD,ON THE FENCE,1 in 5,Medium (20-49),4,17,5,4,7,37,18.90%,24.30%,13.50%,10.80%,24/11/25,4-5cm,,,,,,,
(No Suburb Listed),R03 - SC,4551,QLD,ON THE FENCE,1 in 11,Medium (20-49),1,19,0,0,2,22,9.10%,0.00%,0.00%,0.00%,24/11/25,4-5cm,,,,,,,
Little Mountain,R03 - SC,4551,QLD,KEEP AWAY,1 in 6,Medium (20-49),1,9,1,11,4,26,15.40%,46.20%,3.80%,42.30%,24/11/25,4-5cm,,,,,,,
Pelican Waters,R03 - SC,4551,QLD,KEEP AWAY,1 in 20,Medium (20-49),4,7,3,5,1,20,5.00%,40.00%,15.00%,25.00%,24/11/25,4-5cm,,,,,,,
Currimundi,R03 - SC,4551,QLD,KEEP AWAY,No Claims,Very Low (<10),1,3,1,4,0,9,0.00%,55.60%,11.10%,44.40%,24/11/25,4-5cm,,,,,,,
Dicky Beach,R03 - SC,4551,QLD,KEEP AWAY,1 in 8,Very Low (<10),0,4,1,2,1,8,12.50%,37.50%,12.50%,25.00%,24/11/25,4-5cm,,,,,,,
Caloundra,R03 - SC,4551,QLD,KEEP AWAY,No Claims,Very Low (<10),0,4,0,3,0,7,0.00%,42.90%,0.00%,42.90%,24/11/25,4-5cm,,,,,,,
Banya,R03 - SC,4551,QLD,KEEP AWAY,No Claims,Very Low (<10),2,0,0,3,0,5,0.00%,60.00%,0.00%,60.00%,24/11/25,4-5cm,,,,,,,
Baringa,R03 - SC,4551,QLD,KEEP AWAY,No Claims,Very Low (<10),1,2,1,1,0,5,0.00%,40.00%,20.00%,20.00%,24/11/25,4-5cm,,,,,,,
Witta,R03 - SC,4552,QLD,GO,1 in 2,Medium (20-49),1,11,0,1,11,24,45.80%,4.20%,0.00%,4.20%,24/11/25,4-5cm,,,,,,,
Balmoral Ridge,R03 - SC,4552,QLD,ON THE FENCE,No Claims,Very Low (<10),0,4,1,0,0,5,0.00%,20.00%,20.00%,0.00%,24/11/25,4-5cm,,,,,,,
