Suburb,Region Tag,Postcode,State,Zone,Odds,Data Confidence,Leads,Lost/Other,Minor Dmg,No Dmg,Claims Lodged,Total Volume,Lodge %,Minor/No Dmg %,Minor Dmg %,No Dmg %,Date - Hail Storm 1,Hail Size - Hail Storm 1,% of Suburb Hit - Hail Storm 1,Date - Hail Storm 2,Hail Size - Hail Storm 2,% of Suburb Hit - Hail Storm 2,Date - Hail Storm 3,Hail Size - Hail Storm 3,% of Suburb Hit - Hail Storm 3
Sugarloaf,R05 - WST,4380,QLD,GO,1 in 1,Very Low (<10),0,0,0,0,1,1,100.00%,0.00%,0.00%,0.00%,14/01/2025,6-7cm,,14/02/2023,2-3cm,,,,
Greenlands,R05 - WST,4380,QLD,UNPROVEN,No Claims,Very Low (<10),0,1,0,0,0,1,0.00%,0.00%,0.00%,0.00%,14/01/2025,6-7cm,,14/02/2023,2-3cm,,,,
Thorndale,R05 - WST,4380,QLD,UNPROVEN,No Claims,Very Low (<10),0,1,0,0,0,1,0.00%,0.00%,0.00%,0.00%,14/01/2025,6-7cm,,14/02/2023,2-3cm,,,,
Undercliffe,R05 - WST,4380,QLD,UNPROVEN,No Claims,Very Low (<10),0,1,0,0,0,1,0.00%,0.00%,0.00%,0.00%,14/01/2025,6-7cm,,14/02/2023,2-3cm,,,,
Storm King,R05 - WST,4380,QLD,KEEP AWAY,No Claims,Very Low (<10),0,1,0,1,0,2,0.00%,50.00%,0.00%,50.00%,14/01/2025,6-7cm,,14/02/2023,2-3cm,,,,
Glen Aplin,R05 - WST,4381,QLD,GO,1 in 4,Very Low (<10),0,3,0,0,1,4,25.00%,0.00%,0.00%,0.00%,01/11/2025,6-7cm,,10/01/2025,2-3cm,,23/1/2025,3-4cm,
(No Suburb Listed),R05 - WST,4381,QLD,UNPROVEN,No Claims,Very Low (<10),0,1,0,0,0,1,0.00%,0.00%,0.00%,0.00%,01/11/2025,6-7cm,,10/01/2025,2-3cm,,23/1/2025,3-4cm,
Wallangarra,R05 - WST,4383,QLD,UNPROVEN,No Claims,Very Low (<10),0,2,0,0,0,2,0.00%,0.00%,0.00%,0.00%,01/11/2025,6-7cm,,10/01/2025,2-3cm,,23/1/2025,3-4cm,
Limevale,R05 - WST,4384,QLD,GO,1 in 1,Very Low (<10),0,0,0,0,1,1,100.00%,0.00%,0.00%,0.00%,01/11/2025,6-7cm,,10/01/2025,2-3cm,,23/1/2025,3-4cm,
Silver Spur,R05 - WST,4385,QLD,GO,1 in 1,Very Low (<10),0,0,0,0,2,2,100.00%,0.00%,0.00%,0.00%,01/11/2025,6-7cm,,10/01/2025,2-3cm,,23/1/2025,3-4cm,
(No Suburb Listed),R05 - WST,4385,QLD,UNPROVEN,No Claims,Very Low (<10),1,0,0,0,0,1,0.00%,0.00%,0.00%,0.00%,01/11/2025,6-7cm,,10/01/2025,2-3cm,,23/1/2025,3-4cm,
Smithlea,R05 - WST,4385,QLD,UNPROVEN,No Claims,Very Low (<10),0,1,0,0,0,1,0.00%,0.00%,0.00%,0.00%,01/11/2025,6-7cm,,10/01/2025,2-3cm,,23/1/2025,3-4cm,
Inglewood,R05 - WST,4387,QLD,GO,1 in 1,Very Low (<10),0,0,0,0,1,1,100.00%,0.00%,0.00%,0.00%,01/11/2025,6-7cm,,10/01/2025,2-3cm,,23/1/2025,3-4cm,
Warroo,R05 - WST,4387,QLD,GO,1 in 1,Very Low (<10),0,0,0,0,1,1,100.00%,0.00%,0.00%,0.00%,01/11/2025,6-7cm,,10/01/2025,2-3cm,,23/1/2025,3-4cm,
Yelarbon,R05 - WST,4388,QLD,GO,1 in 2,Very Low (<10),0,1,0,0,1,2,50.00%,0.00%,0.00%,0.00%,01/11/2025,6-7cm,,10/01/2025,2-3cm,,23/1/2025,3-4cm,
(No Suburb Listed),R05 - WST,4401,QLD,UNPROVEN,No Claims,Very Low (<10),0,1,0,0,0,1,0.00%,0.00%,0.00%,0.00%,07/04/2023,1-2cm,,,,,,,
Jondaryan,R04 - GT,4403,QLD,GO,1 in 1,Very Low (<10),0,0,0,0,1,1,100.00%,0.00%,0.00%,0.00%,07/04/2023,1-2cm,,,,,,,
Kumbarilla,R04 - GT,4405,QLD,UNPROVEN,No Claims,Very Low (<10),0,1,0,0,0,1,0.00%,0.00%,0.00%,0.00%,07/04/2023,1-2cm,,,,,,,
Weranga,R04 - GT,4405,QLD,UNPROVEN,No Claims,Very Low (<10),0,1,0,0,0,1,0.00%,0.00%,0.00%,0.00%,07/04/2023,1-2cm,,,,,,,
Hannaford,R04 - GT,4406,QLD,GO,1 in 2,Very Low (<10),0,1,0,0,1,2,50.00%,0.00%,0.00%,0.00%,07/04/2023,1-2cm,,,,,,,
Kogan,R04 - GT,4406,QLD,GO,1 in 1,Very Low (<10),0,0,0,0,2,2,100.00%,0.00%,0.00%,0.00%,07/04/2023,1-2cm,,,,,,,
(No Suburb Listed),R04 - GT,4406,QLD,UNPROVEN,No Claims,Very Low (<10),0,1,0,0,0,1,0.00%,0.00%,0.00%,0.00%,07/04/2023,1-2cm,,,,,,,
MacAlister,R04 - GT,4406,QLD,UNPROVEN,No Claims,Very Low (<10),0,1,0,0,0,1,0.00%,0.00%,0.00%,0.00%,07/04/2023,1-2cm,,,,,,,
Bell,R04 - GT,4408,QLD,GO,1 in 2,Very Low (<10),1,0,0,0,1,2,50.00%,0.00%,0.00%,0.00%,07/04/2023,1-2cm,,,,,,,
Jandowae,R04 - GT,4410,QLD,GO,1 in 1,Very Low (<10),0,0,0,0,2,2,100.00%,0.00%,0.00%,0.00%,07/04/2023,1-2cm,,,,,,,
Brigalow,R04 - GT,4412,QLD,KEEP AWAY,No Claims,Very Low (<10),0,0,0,1,0,1,0.00%,100.00%,0.00%,100.00%,02/10/2025,5-6cm,,4/12/23,3-4cm,,8/12/22,5-6cm,
Chinchilla,R05 - WST,4413,QLD,UNPROVEN,No Claims,Very Low (<10),0,1,0,0,0,1,0.00%,0.00%,0.00%,0.00%,02/10/2025,5-6cm,,4/12/23,3-4cm,,8/12/22,5-6cm,
Miles,R05 - WST,4415,QLD,UNPROVEN,No Claims,Very Low (<10),0,1,0,0,0,1,0.00%,0.00%,0.00%,0.00%,02/10/2025,5-6cm,,4/12/23,3-4cm,,8/12/22,5-6cm,
Westmar,R05 - WST,4422,QLD,UNPROVEN,No Claims,Very Low (<10),0,1,0,0,0,1,0.00%,0.00%,0.00%,0.00%,02/10/2025,5-6cm,,4/12/23,3-4cm,,8/12/22,5-6cm,
Durham Downs,R06 - RER,4454,QLD,UNPROVEN,No Claims,Very Low (<10),0,1,0,0,0,1,0.00%,0.00%,0.00%,0.00%,02/10/2025,5-6cm,,4/12/23,3-4cm,,8/12/22,5-6cm,
Euthulla,R06 - RER,4455,QLD,GO,1 in 2,Very Low (<10),0,0,1,0,2,3,66.70%,33.30%,33.30%,0.00%,02/10/2025,5-6cm,,4/12/23,3-4cm,,8/12/22,5-6cm,
Orange Hill,R06 - RER,4455,QLD,GO,1 in 2,Very Low (<10),0,0,0,1,1,2,50.00%,50.00%,0.00%,50.00%,02/10/2025,5-6cm,,4/12/23,3-4cm,,8/12/22,5-6cm,
Bungil,R06 - RER,4455,QLD,GO,1 in 1,Very Low (<10),0,0,0,0,1,1,100.00%,0.00%,0.00%,0.00%,02/10/2025,5-6cm,,4/12/23,3-4cm,,8/12/22,5-6cm,
Hodgson,R06 - RER,4455,QLD,GO,1 in 1,Very Low (<10),0,0,0,0,1,1,100.00%,0.00%,0.00%,0.00%,02/10/2025,5-6cm,,4/12/23,3-4cm,,8/12/22,5-6cm,
(No Suburb Listed),R06 - RER,4455,QLD,UNPROVEN,No Claims,Very Low (<10),0,1,0,0,0,1,0.00%,0.00%,0.00%,0.00%,02/10/2025,5-6cm,,4/12/23,3-4cm,,8/12/22,5-6cm,
Tingun,R06 - RER,4455,QLD,UNPROVEN,No Claims,Very Low (<10),0,1,0,0,0,1,0.00%,0.00%,0.00%,0.00%,02/10/2025,5-6cm,,4/12/23,3-4cm,,8/12/22,5-6cm,
Bray Park,R03 - SC,4500,QLD,GO,1 in 3,Very Low (<10),0,1,1,0,1,3,33.30%,33.30%,33.30%,0.00%,17/10/2025,5-6cm,,26/05/2023,3-4cm,,,,
Warner,R03 - SC,4500,QLD,UNPROVEN,No Claims,Very Low (<10),0,2,0,0,0,2,0.00%,0.00%,0.00%,0.00%,17/10/2025,5-6cm,,26/05/2023,3-4cm,,,,
Cashmere,R03 - SC,4500,QLD,UNPROVEN,No Claims,Very Low (<10),0,1,0,0,0,1,0.00%,0.00%,0.00%,0.00%,17/10/2025,5-6cm,,26/05/2023,3-4cm,,,,
Petrie,R03 - SC,4502,QLD,KEEP AWAY,No Claims,Very Low (<10),0,1,0,2,0,3,0.00%,66.70%,0.00%,66.70%,17/10/2025,5-6cm,,26/05/2023,3-4cm,,,,
(No Suburb Listed),R03 - SC,4502,QLD,KEEP AWAY,No Claims,Very Low (<10),0,0,0,1,0,1,0.00%,100.00%,0.00%,100.00%,17/10/2025,5-6cm,,26/05/2023,3-4cm,,,,
Murrumba Downs,R03 - SC,4503,QLD,GO,1 in 2,Very Low (<10),0,1,0,0,1,2,50.00%,0.00%,0.00%,0.00%,17/10/2025,5-6cm,,26/05/2023,3-4cm,,,,
Dakabin,R03 - SC,4503,QLD,KEEP AWAY,No Claims,Very Low (<10),0,2,0,1,0,3,0.00%,33.30%,0.00%,33.30%,17/10/2025,5-6cm,,26/05/2023,3-4cm,,,,
(No Suburb Listed),R03 - SC,4505,QLD,KEEP AWAY,No Claims,Very Low (<10),0,1,0,2,0,3,0.00%,66.70%,0.00%,66.70%,17/10/2025,5-6cm,,26/05/2023,3-4cm,,,,
Moorina,R03 - SC,4506,QLD,GO,1 in 1,Very Low (<10),0,0,0,0,1,1,100.00%,0.00%,0.00%,0.00%,17/10/2025,5-6cm,,26/05/2023,3-4cm,,,,
(No Suburb Listed),R03 - SC,4506,QLD,KEEP AWAY,No Claims,Very Low (<10),1,0,0,1,0,2,0.00%,50.00%,0.00%,50.00%,17/10/2025,5-6cm,,26/05/2023,3-4cm,,,,
Woorim,R03 - SC,4507,QLD,ON THE FENCE,No Claims,Very Low (<10),1,2,0,1,0,4,0.00%,25.00%,0.00%,25.00%,17/10/2025,5-6cm,,26/05/2023,3-4cm,,,,
