Option ID,Option name,,,,,,,,,
286,Scoreapp - Yes Claims,Person,Lead Gen (do NOT use),Multiple options,fa155226b2a4ad441141f7832b2ac855d75cefa6,,,,,
287,Out Of Area/Other,,,,,,,,,
288,Gympie - QLD,,,,,,,,,
290,Yes,Deal,Old Engagement Sent and now Cancelled,Multiple options,7d3f3f1db25c539ee15610380d0f9098b7310fcc,,,,,
291,Yes,Deal,New Engagement Sent,Multiple options,37e7be2b6f4e2a155488946bd5bc0ab449d4cbe6,,,,,
292,Lost - Broker,Deal,Lost reason,Lost reason (Single option),lost_reason,,,,,
293,Beaudesert - QLD,,,,,,,,,
294,No loss adjuster,Deal,Is a Loss Adjuster appointed?,Single option,0f14169336be4faabae4faea5804e53cf285fe52,,,,,
295,"Yes, Sedgwick",Deal,Is a Loss Adjuster appointed?,Single option,0f14169336be4faabae4faea5804e53cf285fe52,,,,,
296,"Yes, Crawfords",Deal,Is a Loss Adjuster appointed?,Single option,0f14169336be4faabae4faea5804e53cf285fe52,,,,,
297,"Yes, ANA Loss Adjusters",Deal,Is a Loss Adjuster appointed?,Single option,0f14169336be4faabae4faea5804e53cf285fe52,,,,,
298,"Yes, other loss adjuster",Deal,Is a Loss Adjuster appointed?,Single option,0f14169336be4faabae4faea5804e53cf285fe52,,,,,
299,Wanted a Quote Only,Deal,Lost reason,Lost reason (Single option),lost_reason,,,,,
300,Solarez to review,Deal,Lost reason,Lost reason (Single option),lost_reason,,,,,
301,Denied - Lost (2023),Deal,Lost reason,Lost reason (Single option),lost_reason,,,,,
302,Tim Referral,Person,Lead Gen (do NOT use),Multiple options,fa155226b2a4ad441141f7832b2ac855d75cefa6,,,,,
303,Harley M Referral,Person,Lead Gen (do NOT use),Multiple options,fa155226b2a4ad441141f7832b2ac855d75cefa6,,,,,
304,David S Self Gen,Person,Lead Gen (do NOT use),Multiple options,fa155226b2a4ad441141f7832b2ac855d75cefa6,,,,,
305,Real Estate Deal,,,,,,,,,
